CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster,PCA1,PCA2
12346.0,326,1,77183.6,1,1,5,115,Lost Customers,3,4.106623311276754,5.433579403001396
12347.0,2,7,4310.0,5,5,5,555,Champions,0,0.7424105574712951,-0.6713004179769815
12348.0,75,4,1797.24,2,4,4,244,At Risk,0,0.024802336318119917,-0.1749539970553377
12349.0,19,1,1757.55,4,1,4,414,Potential Loyalists,0,-0.02803634885312315,-0.735123830771832
12350.0,310,1,334.40000000000003,1,1,2,112,Lost Customers,1,-1.2354657626817005,1.8349456040199599
12352.0,36,8,2506.04,3,5,5,355,Loyal Customers,0,0.573914162510059,-0.42745455486287637
12353.0,204,1,89.0,1,1,1,111,Lost Customers,1,-0.8493458718414495,0.8644419827491495
12354.0,232,1,1079.4,1,1,4,114,Lost Customers,1,-0.8862659742399069,1.1623993379629534
12355.0,214,1,459.4,1,1,2,112,Lost Customers,1,-0.861358513457522,0.9716052242729923
12356.0,23,3,2811.43,4,3,5,435,Loyal Customers,0,0.20627030772663082,-0.6172238891667751
12357.0,33,1,6207.67,4,1,5,415,Potential Loyalists,0,0.23155901418228123,-0.4084005301606966
12358.0,2,2,1168.06,5,2,4,524,Potential Loyalists,0,0.08292773710321621,-0.8983305061703298
12359.0,58,4,6372.58,3,4,5,345,Loyal Customers,0,0.4111690275245043,-0.12320406597081918
12360.0,52,3,2662.06,3,3,5,335,Loyal Customers,0,0.08541189666871069,-0.3614391809548989
12361.0,287,1,189.9,1,1,1,111,Lost Customers,1,-1.1581006717892397,1.6202634847155128
12362.0,3,10,5226.2300000000005,5,5,5,555,Champions,0,1.066172771781769,-0.5695771878804765
12363.0,110,2,552.0,2,2,3,223,Others,0,-0.3713689486024469,0.051560107714266404
12364.0,8,4,1313.1,5,4,4,544,Champions,0,0.24572649084914477,-0.803172955159729
12365.0,291,2,641.38,1,2,3,123,Lost Customers,1,-1.0538634616409925,1.6939253785176074
12367.0,4,1,168.9,5,1,1,511,Potential Loyalists,0,-0.08264721097036729,-0.9422967074787536
12370.0,51,4,3545.69,3,4,5,345,Loyal Customers,0,0.23905896296268767,-0.31361355705765115
12371.0,45,2,1887.96,3,2,4,324,Others,0,-0.03009128324290812,-0.47675541970344926
12372.0,72,3,1298.04,3,3,4,334,Loyal Customers,0,-0.0865952918837292,-0.2417089065262927
12373.0,311,1,364.6,1,1,2,112,Lost Customers,1,-1.2371479212819725,1.8453545203812003
12374.0,25,1,742.9300000000001,4,1,3,413,Potential Loyalists,0,-0.1222028658998373,-0.7264136637162479
12375.0,11,2,457.5,5,2,2,522,Potential Loyalists,0,-0.0012776933353342956,-0.8488001299290531
12377.0,315,2,1628.12,1,2,4,124,Lost Customers,1,-1.0758192608452009,1.9555116514230764
12378.0,130,1,4008.62,2,1,5,215,Others,0,-0.2921722244259088,0.3707781746443604
12379.0,82,2,852.24,2,2,3,223,Others,0,-0.2437088464498132,-0.18839245341162078
12380.0,22,4,2724.81,4,4,5,445,Champions,0,0.2917027791207987,-0.6130038806725842
12381.0,5,5,1845.31,5,4,4,544,Champions,0,0.38227736271497,-0.789244376759606
12383.0,185,5,1850.56,1,4,4,144,At Risk,1,-0.30232660533108147,0.8402882200543703
12384.0,29,2,585.27,4,2,3,423,Potential Loyalists,0,-0.06079197715047667,-0.6801281415365378
12386.0,338,2,401.9,1,2,2,122,Lost Customers,1,-1.249554472346851,2.108589968464933
12388.0,16,6,2780.6600000000003,4,4,5,445,Champions,0,0.4938957941968447,-0.630474541988351
12390.0,80,1,549.84,2,1,3,213,Others,0,-0.3450756195850361,-0.23725099944465436
12391.0,22,1,460.89,4,1,2,412,Potential Loyalists,0,-0.13061580988528132,-0.7662442355392246
12393.0,72,4,1582.6,3,4,4,344,Loyal Customers,0,0.021128030514842477,-0.21175543362640398
12394.0,64,2,1272.48,3,2,4,324,Others,0,-0.14566605951584122,-0.3324354149584477
12395.0,19,12,3018.63,4,5,5,455,Champions,0,1.0255122768557363,-0.48963705493597315
12397.0,36,2,2409.9,3,2,5,325,Others,0,0.04085299090602422,-0.5347628803841225
12398.0,46,1,1635.66,3,1,4,314,Others,0,-0.13935193346051664,-0.49620739436347794
12399.0,119,4,1108.65,2,4,4,244,At Risk,0,-0.19104767595618824,0.19237145094235475
12401.0,303,1,84.3,1,1,1,111,Lost Customers,1,-1.226411502593294,1.760343908567699
12402.0,323,1,225.6,1,1,1,111,Lost Customers,1,-1.2925853554131077,1.9477272672308112
12403.0,50,1,427.7,3,1,2,312,Others,0,-0.2395006401306808,-0.5142897371874819
12405.0,149,1,1710.39,2,1,4,214,Others,1,-0.5260547662929193,0.4394709190755316
12406.0,22,2,3415.3,4,2,5,425,Potential Loyalists,0,0.1648145325527185,-0.6163006031094712
